Test Number,Date,Series,Ground,Result
560,24/07/1980,1980 England v. West Indies,Kennington Oval,Match Drawn
561,07/08/1980,1980 England v. West Indies,Headingley,Match Drawn
562,28/08/1980,1980 England v. Australia,Lord's,Match Drawn
563,13/02/1981,1980-1981 West Indies v. England,Queen's Park Oval,West Indies won by an innings and 79 runs
564,13/03/1981,1980-1981 West Indies v. England,Kensington Oval,West Indies won by 298 runs
565,27/03/1981,1980-1981 West Indies v. England,Antigua Recreation Ground,Match Drawn
566,10/04/1981,1980-1981 West Indies v. England,Sabina Park,Match Drawn
567,18/06/1981,1981 England v. Australia,Trent Bridge,Australia won by 4 wickets
568,02/07/1981,1981 England v. Australia,Lord's,Match Drawn
569,16/07/1981,1981 England v. Australia,Headingley,England won by 18 runs
570,30/07/1981,1981 England v. Australia,Edgbaston,England won by 29 runs
571,13/08/1981,1981 England v. Australia,Old Trafford,England won by 103 runs
572,27/08/1981,1981 England v. Australia,Kennington Oval,Match Drawn
573,27/11/1981,1981-1982 India v. England,Wankhede Stadium,India won by 138 runs
574,09/12/1981,1981-1982 India v. England,M Chinnaswamy Stadium,Match Drawn
575,23/12/1981,1981-1982 India v. England,Arun Jaitley Stadium,Match Drawn
576,01/01/1982,1981-1982 India v. England,Eden Gardens,Match Drawn
577,13/01/1982,1981-1982 India v. England,MA Chidambaram Stadium,Match Drawn
578,30/01/1982,1981-1982 India v. England,Green Park,Match Drawn
579,17/02/1982,1982 Sri Lanka v. England,P Sara Oval,England won by 7 wickets
580,10/06/1982,1982 England v. India,Lord's,England won by 7 wickets
581,24/06/1982,1982 England v. India,Old Trafford,Match Drawn
582,08/07/1982,1982 England v. India,Kennington Oval,Match Drawn
583,29/07/1982,1982 England v. Pakistan,Edgbaston,England won by 113 runs
584,12/08/1982,1982 England v. Pakistan,Lord's,Pakistan won by 10 wickets
585,26/08/1982,1982 England v. Pakistan,Headingley,England won by 3 wickets
586,12/11/1982,1982-1983 Australia v. England,WACA Ground,Match Drawn
587,26/11/1982,1982-1983 Australia v. England,Brisbane Cricket Ground,Australia won by 7 wickets
588,10/12/1982,1982-1983 Australia v. England,Adelaide Oval,Australia won by 8 wickets
589,26/12/1982,1982-1983 Australia v. England,Melbourne Cricket Ground,England won by 3 runs
590,02/01/1983,1982-1983 Australia v. England,Sydney Cricket Ground,Match Drawn
591,14/07/1983,1983 England v. New Zealand,Kennington Oval,England won by 189 runs
592,28/07/1983,1983 England v. New Zealand,Headingley,New Zealand won by 5 wickets
593,11/08/1983,1983 England v. New Zealand,Lord's,England won by 127 runs
594,25/08/1983,1983 England v. New Zealand,Trent Bridge,England won by 165 runs
595,20/01/1984,1983-1984 New Zealand v. England,Basin Reserve,Match Drawn
596,03/02/1984,1983-1984 New Zealand v. England,AMI Stadium,New Zealand won by an innings and 132 runs
597,10/02/1984,1983-1984 New Zealand v. England,Eden Park,Match Drawn
598,02/03/1984,1983-1984 Pakistan v. England,National Stadium (Karachi),Pakistan won by 3 wickets
599,12/03/1984,1983-1984 Pakistan v. England,Iqbal Stadium,Match Drawn
600,19/03/1984,1983-1984 Pakistan v. England,Gaddafi Stadium,Match Drawn
601,14/06/1984,1984 England v. West Indies,Edgbaston,West Indies won by an innings and 180 runs
602,28/06/1984,1984 England v. West Indies,Lord's,West Indies won by 9 wickets
603,12/07/1984,1984 England v. West Indies,Headingley,West Indies won by 8 wickets
604,26/07/1984,1984 England v. West Indies,Old Trafford,West Indies won by an innings and 64 runs
605,09/08/1984,1984 England v. West Indies,Kennington Oval,West Indies won by 172 runs
606,23/08/1984,1984 England v. Sri Lanka,Lord's,Match Drawn
607,28/11/1984,1984-1985 India v. England,Wankhede Stadium,India won by 8 wickets
608,12/12/1984,1984-1985 India v. England,Arun Jaitley Stadium,England won by 8 wickets
609,31/12/1984,1984-1985 India v. England,Eden Gardens,Match Drawn
610,13/01/1985,1984-1985 India v. England,MA Chidambaram Stadium,England won by 9 wickets
611,31/01/1985,1984-1985 India v. England,Green Park,Match Drawn
612,13/06/1985,1985 England v. Australia,Headingley,England won by 5 wickets
613,27/06/1985,1985 England v. Australia,Lord's,Australia won by 4 wickets
614,11/07/1985,1985 England v. Australia,Trent Bridge,Match Drawn
615,01/08/1985,1985 England v. Australia,Old Trafford,Match Drawn
616,15/08/1985,1985 England v. Australia,Edgbaston,England won by an innings and 118 runs
617,29/08/1985,1985 England v. Australia,Kennington Oval,England won by an innings and 94 runs
